제목,작성 날짜,주최사,활동내용,모집 기간,모집 인원,모집 대상,참가 비용 유/무,우대 사항,활동 지역,활동 기간
 [자생의료재단] 희망드림 2기 대학생 봉사단 모집(8.3 ~8.19),20180808,자생의료재단,"1.조별 창의적인 봉사활동 지원2. 재단 내 봉사활동 참여 (의료봉사, 농촌일손돕기, 바자회, 김장김치담그기, 연탄 나누기 등)",2018. 8. 3(금) ~ 8. 19(일),50여명 이내,봉사가 하고 싶은 열정 넘치는 대학생 (졸업생 가능),전액 무료!,1. 자생의료재단주관 사회공헌활동 참여!2. 봉사활동 시간 인증서 발급,"1. 충북, 충남 의료봉사 전국적 의료봉사 지속활동2. 서울, 경기 지역 바자회 및 김장담그기, 연탄나누기 봉사 등3. 전국적으로 지속 활동",1. 2018. 8. 31(금) 발대식 이후 지속 활동
 [빨간클립봉사단]빨간클립봉사단·나눔콘서트 기획단 모집(~8.17),20180808,빨간클립봉사단,봉사활동 및 기부나눔콘서트 기획,~2018.08.17 PM11:59,00명,"봉사활동 및 문화·예술 활동에 관심 있는 대학생(휴학생, 졸업생 가능)",무,.,수도권,~2018년 12월 말
 시각장애청소년의 건강증진을 위한 운동프로그램 ‘토토가’ 래프팅 자원봉사자 모집(~8/9),20180808,설리번학습지원센터,시각장애청소년이 평소 체험하기 어려운 다양한 익스트림 스포츠를 경험하고 체육활동에 대한 자신감을 증진하여 스트레스를 해소하는 체험을 실시하여 이를 통해 다양한 체육활동 경험 증가와 스트레스 해소를 도모하고자 합니다. 시각장애청소년들의 프로그램 보조 및 안내보행을 도와줄 자원봉사자 분들의 많은 참여 부탁드립니다.,~8/9(목),7명,만19세 이상의 성인 중 시각장애인 봉사활동에 관심이 많은 분시각장애청소년과 함께 프로그램에 참여하여 즐겁게 활동 가능하신 분무단결석없이 성실하게 봉사활동에 참여하실 분,무,,한탄강 (강원도 철원 소재)집결장소설리번학습지원센터(서울 종로구 자하문로1311) 08:10까지 집결,2018년 8월 10일 금요일 / 08:30 ~ 17:00
 즐거운 봉사하러 가즈아! 남서로타랙트(8/1~8/15),20180808,국제로타리 3640지구 남서 로타랙트,"안녕하세요! 저희는 20세부터 만31세까지 남녀 누구나 함께 봉사활동을 하며 친목을 다지는 봉사 동아리, 남서 로타랙트입니다^^로타랙트는 국제 로타리 클럽의 후원을 받는 국제봉사단체인데요. 로타리 클럽은 한국에 17개의 지구가 있으며저희 '남서 로타랙트'는 그 중 서울 3640 지구에 속해있는 서울 남서 로타리 클럽의 후원을 받고 있습니다.현재는 서울시 강동구 암사동에 위치한 암사 재활원 이라는 중증 장애인 시설에서귀여운 아이들과 함께 놀이활동, 식사보조, 청소와 같은 봉사활동을 한 달에 한 번정기적으로 하고 있답니다ㅎㅎ또 서울 3640지구에는 저희 남서 로타랙트 클럽 말고도 9개의 클럽이 더 있어서다양한 종류의 봉사활동을 연합해서 함께 하고 있습니다^^정기 봉사활동장소: 서울시 강동구 암사동 암사재활원 센터(암사역 1번출구)시간: 매달 넷째 주 일요일 오전 10시 ~ 오후 1시봉사활동내용: 중증 장애를 가진 어린 아이들과 놀이 활동, 식사 보조, 청소장소: 서울특별시 영등포구 영등포동 3가 6번지, 영등포시장 지하쇼핑센터 1번출구시간: 매달 셋째 주 토요일 오전 10시 ~ 오후 2시봉사활동내용 : 독거노인분들을 대상으로 배식, 주방보조, 설거지, 테이블 세팅 등의 봉사지구 연합 봉사활동정기적으로 '생명사랑밤길걷기(범국민 자살예방 캠페인)', 사랑나눔 연탄봉사활동, 김장봉사활동 등다양한 연합 봉사를 진행하고 있습니다.타 클럽 봉사 교류 활동3640지구 내 10개의 클럽과 봉사활동 교류를 활발히 펼치고 있습니다.친목 활동 및 행사매년 3640지구 내 로타랙트 인들과 화합, 친목을 위해 '지구대회'라는 행사를 진행하고 있으며그 밖에도 MT, 번개, APRRC(해외 로타랙트 교류 행사), RYLA(리더십 연수 프로그램) 등행사를 통해 다양한 사람들과의 인맥을 넓힐 수 있습니다.",2018년 08월 1일(수) ~ 2018년 08월 15일(수) 입니다.,인원 제한은 없습니다.,"서울에서 활동 가능한 20세 ~ 만 31세 남녀 누구나!대학생, 대학원생, 직장인 모두 함께해요!동아리 활동에 성실하게 참여해 주실 분들은 더더욱 환영합니다! 졸업생 가능 여부만20세~ 만 31세 남녀라면 재학생, 졸업생, 직장인 관계없이 모두 가능합니다.",,,서울,2018년 8월 26일(일)부터(이 날 정기 봉사활동이 예정되어 있습니다)
 제 30회 춘천인형극제 자원활동가 2차 모집 공고,20180808,(재)춘천형형극제,"공연운영팀(공연장관리 등) / 행사운영팀(부대 체험행사 등) / 홍보 마케팅팀(홍보, 안내, 매표 등)해외팀(영어, 스페인어, 프랑스어, 일어 통역 등)",9월 2일(일) 까지,00,고등학생 이상,무,없음,춘천인형극장,9월 28일 ~ 10월 3일
 [JA Korea] BNP Paribas CIB와 JA Korea가 함께하는 금융교육 봉사단 모집(~8/17),20180808,BNP Paribas CIB  JA Korea,청소년방과후아카데미에 방문하여 BNP Paribas CIB 임직원들과 함께 금융교육 프로그램 진행,2018년 8월 6일(월) ~ 8월 17일(금),00명,"사전교육 및 서울에서 활동 가능한 대학(원)생(재학생, 휴학생 가능)",무,,"서울 강남구 수서동, 은평구 응암동",2018년 8월 말 ~ 11월 9일(금)
" [D-2] 대학생 연합 토론교육봉사단체 ""대풍단"" 7기 모집(~8/10)",20180808,한국 청소년 문화진흥협회,"서울지역 3개 지부(수유, 홍대, 건대) 지역아동센터에서 토론교육 봉사를 실시(주 1회)전국토론대회에서 심사위원이나 토론 진행을 맡는 퍼실리테이터로 위촉되어 활동(매 학기 1회)프로그램 제작팀, 기획팀, 인프라 구축팀에 소속되어 팀 활동 진행매월 마지막 주 토요일 총회 진행토론활동지도사 3급 자격증 취득을 위한 자격증 교육 이수",7월 16일~8월 10일,00명,"토론을 좋아하고 교육을 사랑하는 휴학생, 재학생","한 학기 활동비 2만원 (MT 비용은 별도입니다)활동 지역수유 지부, 홍대(망원) 지부, 건대 지부활동 기간1년활동 혜택토론활동지도사 3급 자격증봉사시간오프라인 모임 횟 수 (월 x회)월 1회 이상매월 마지막 주 토요일 정기 총회팀 활동지원하는 방법(1) https://cafe.naver.com/daepoogdan/308 에서 지원서를 다운 받아주세요게시글 상단에 첨부파일 있습니다(2) 지원서 작성 후 dmstjs2009@gmail.com 으로 제출해 주세요공식 카페/블로그 및 SNS네이버 카페https://m.cafe.naver.com/daepoogdan페이스북https://www.facebook.com/%EB%8C%80%ED%95%99%EC%83%9D%ED%92%8D%EB%8E%85%EC%9D%B4%EB%B4%89%EC%82%AC%EB%8B%A8%EB%8C%80%ED%92%8D%EB%8B%A81414691041889091/모집일정1. 모집기간  7월 16일~8월 10일 2. 서류발표  8월 13일2. 면접일시  8월 16일~17일3. 합격자 발표  8월 18일 토요일< 대외활동 담당자의 Q&A >Q. 지난번 경쟁률은 어땠나요?A. 3대 1이었습니다Q. 필요 역량 및",,"수유 지부, 홍대(망원) 지부, 건대 지부",1년
 [CJ나눔재단] CJ도너스캠프 대학생봉사단(기자단 부문 포함) 2기 모집(~8/12),20180807,CJ나눔재단," 창의학교 : 문화/예술 교육멘토링(초등학생 대상), 주 1회 2.5시간 공부방 방문 교육진행(총 12회), 12월 말 창의학교 스테이지 준비 인성학교 : 9~12월 프로그램 기획/운영 준비 회의 및 활동(월 2회) 및 CJ도너스캠프 아우름 프로젝트 연계 프로그램 개발/운영, 10월 말 가족인성학교 참여  기자단 : 창의학교, 인성학교 활동 현장 취재 및 월별 컨텐츠 제작 및 발행"," 8/12(일) 24시까지모집 대상(+졸업생 가능여부) 전국 대학생(재학생, 휴학생), 대학원생참가 비용 유/무 참가비용 없음활동 지역 창의학교 : 전국 도너스캠프 공부방(주로 수도권, 창의학교 전남 제외) 인성학교 : CJ 인재원, 인생학교 서울, 캠프 지역 기자단 : CJ 인재원, 각 촬영 지역활동 기간 8/24 ~ 8/27(발대식, 입문교육) 9~12월(봉사단 활동)활동 혜택 CJ도너스캠프 대학생봉사단 활동비 지급 CJ도너스캠프 대학생봉사단 활동 KIT 제공 CJ임직원 및 분야 전문가 멘토링 기회 제공 CJ문화체험(공연, 뮤지컬, 페스티벌 등), 사업장 방문 체험 기회 제공 우수활동 봉사자 CJ글로벌 봉사 및 문화체험 프로그램 참여 제공오프라인 모임 횟 수 (월 x회) 창의학교 : 월 4~5회(공부방 수업) 기자단, 인성학교 : 월 2~3회지원하는 방법 http://bit.ly/2KnLWvn공식 카페/블로그 및 SNS CJ도너스캠프 홈페이지 : https://www.donorscamp.org CJ도너스캠프 블로그: https://blog.naver.com/donorscamp05 CJ도너스캠프 페이스북: https://www.facebook.com/cjdonorscamp CJ도너스캠프 인스타그램 : https://www.instagram.com/cjdonorscamp기타 문의사항 CJ도너스캠프 대학생봉사단 담당자 : 0222803123 / 0222803158로 연락(평일 아침 9시부터 오후 6시)< 대외활동 담당자의 Q&A >Q. 지난번 경쟁률은 어땠나요?A. 비공개Q. 필요 역량 및 우대 사항은 뭔가요?A. 아이들을 사랑하는 마음과 성실함을 가진 분이면 모두 환영합니다!Q. 서류/면접전형 주의사항이 있다면?A. 서류를 8월 12일(일) 24:00시 이전까지 제출하셔야 되는거 아시죠? 1분만 늦어도 제출이 불가능합니다. ※지원서 작성 시 페이스북 회원으로 로그인 된 분들은 반드시 마이페이지에서 일반회원으로 전환 후 지원 부탁드립니다!Q. 구체적으로 어떤 활동 하나요?A. 창의학교의 경우 아이들과의 교육 멘토링과 스태프 참여, 인성학교의 경우 캠프 기획, 운영 담당, 기자단의 경우 활동 취재 및 SNS컨텐츠 제작Q. 우리 활동, '이것' 만큼은 꼭 자랑하고 싶다!A. 100명이 넘는 다양한 사람들을 만날 수 있는 기회, CJ만이 제공 할 수 있는 문화체험 혜택, 잊을 수 없는 아이들과의 추억!Q. 지원 망설이는 분들에게 한 마디 해주신다면!A. 우선 시작해!CJ도너스캠프 대학생봉사단 2기 지원 > http://bit.ly/2KnLWvn",," 전국 대학생(재학생, 휴학생), 대학원생"," 참가비용 없음활동 지역 창의학교 : 전국 도너스캠프 공부방(주로 수도권, 창의학교 전남 제외) 인성학교 : CJ 인재원, 인생학교 서울, 캠프 지역 기자단 : CJ 인재원, 각 촬영 지역활동 기간 8/24 ~ 8/27(발대식, 입문교육) 9~12월(봉사단 활동)활동 혜택 CJ도너스캠프 대학생봉사단 활동비 지급 CJ도너스캠프 대학생봉사단 활동 KIT 제공 CJ임직원 및 분야 전문가 멘토링 기회 제공 CJ문화체험(공연, 뮤지컬, 페스티벌 등), 사업장 방문 체험 기회 제공 우수활동 봉사자 CJ글로벌 봉사 및 문화체험 프로그램 참여 제공오프라인 모임 횟 수 (월 x회) 창의학교 : 월 4~5회(공부방 수업) 기자단, 인성학교 : 월 2~3회지원하는 방법 http://bit.ly/2KnLWvn공식 카페/블로그 및 SNS CJ도너스캠프 홈페이지 : https://www.donorscamp.org CJ도너스캠프 블로그: https://blog.naver.com/donorscamp05 CJ도너스캠프 페이스북: https://www.facebook.com/cjdonorscamp CJ도너스캠프 인스타그램 : https://www.instagram.com/cjdonorscamp기타 문의사항 CJ도너스캠프 대학생봉사단 담당자 : 0222803123 / 0222803158로 연락(평일 아침 9시부터 오후 6시)< 대외활동 담당자의 Q&A >Q. 지난번 경쟁률은 어땠나요?A. 비공개Q. 필요 역량 및",," 창의학교 : 전국 도너스캠프 공부방(주로 수도권, 창의학교 전남 제외) 인성학교 : CJ 인재원, 인생학교 서울, 캠프 지역 기자단 : CJ 인재원, 각 촬영 지역"," 8/24 ~ 8/27(발대식, 입문교육) 9~12월(봉사단 활동)"
 [국내봉사 D-1]봉.알.못도 대환영!! 승가원에서 신입 봉사자분들을 모집해요(~8/8),20180807,승가원봉사단,"서울시 성북구 안암동에 위치한 승가원에서 장애아동 친구들과놀이, 식사, 목욕활동 등 도우며봉사하고있습니다!봉사자들간 친목을 쌓을 수 있는 시간도 많이 마련하고 있으니 승가원에서 봉사와 친목 모두 얻어가세요~!!♡시험기간인 주에는 활동을 잠시 중단하니 부담없이 지원해주세요!같이 와서 봉사하고 좋은 사람들과 시간 보내요♥",2018.08.08 (수) 오후 8시까지 !!!,12명,"봉사에 관심있는 모든 20대 가능합니다~!매달 홀수(1,3,5)주 일요일 오후 2~6시 봉사 가능하신 분 지원부탁드려요",연 회비 2만원,일요일에 시간 여유가 있으신 분들!봉사매니아 분들!봉사를 여태껏 안해봤지만 이제는 참여하고픈 분들!모두 지원해주세요 ☆,서울시 성북구 안암동 승가원(안암역에서 도보 7분 거리에 위치),2018년 12월까지
 [빨간클립봉사단]빨간클립봉사단·나눔콘서트 기획단 모집(~8.17),20180807,빨간클립봉사단,봉사활동 및 기부나눔콘서트 기획,~2018.08.17 PM11:59,00명,"봉사활동 및 문화·예술 활동에 관심 있는 대학생(휴학생, 졸업생 가능)",무,.,수도권,~2018년 12월 말
