,제목,활동처명,활동장소,봉사내용,모집 시작일,모집 마감일,활동 기간,생활 편의,국제 협력,환경,인권,재해/재난,농어촌,주거 환경,보건 의료,교육,행정 지원,상담,문화,체육,역사,동아리,여행,홍보,사회공헌,기획,언어,현장,기타,장애인,노인,외국인,노숙인,다문화가정,노동자,유아,여성,쪽방촌,청소년,지역사회,광역시/도,시/군/구,주소,위도,경도
0,사무도우미 활동(컴퓨터 작업 및 서류정리),(사)스파인2000,스파인2000 사무국,"* 중학생은 신청을 받지 않습니다
* 봉사일시 : 2018년 5월 4일 ~ 8월 3일  오후 6시부터 오후 8시까지 
국가지정공휴일에도 봉사가능
 * 봉사장소 : 스파인2000 사무국
 * 모집인원 : 일손봉사 하루에 1명씩 
 * 모집개요 : 중학생은 신청을 받지 않습니다. 일회성 자원봉사자도 받지 않습니다.(최소 5회 이상, 1주일에 1번이라도 꾸준하게 하실 분을 찾습니다.)
 * 봉사내용 : 사무업무-컴퓨터작업 ( 한글, 엑셀, 포토샵, PPT, 기타) 서류정리작업
 * 신청문의 : 스파인2000 사무국 ☎ 02-309-5181, Fax 02-333-5181, email
spine2000@hanmail.net, 홈페이지
www.spine2000.org
왕태윤 010-8220-5181 - 신청시 카톡으로 반드시 연락 한번 주세요
 - 기타사항
* 본 자원봉사모집공고는 1365뿐 아니라 저희 홈페이지와 이메일 혹은 SNS로도 신청을 받으니 1365에서 신청이 마감되지 않고 자리가 남아있더라도 실질적으로는 마감될 수 있어 신청이 반려될 수 있음을 알려드리는 바입니다.
* 필요시 자원봉사확인증 발급
* 신입회원들은 스파인2000의 공식 자원봉사 신청양식 제출 요함
(스파인2000 홈페이지→ 자원봉사 신청하기 게시판에 신청양식참고",20180501,20180802,20180504 ~ 20180803,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,서울특별시,서대문구,서울특별시 서대문구 연희로 128 정연지오빌303호,37.56880820000001,126.93284540000002
1,★ 장애청소년과 함께 책읽고 놀아주실수 있는 자원봉사자분을 모집합니다,강서뇌성마비복지관,강서구 가양동(가정으로 방문),"
◈ 활동일시 : 매주 수요일 혹은 목요일 오후 5시 이후(활동일정 조율필요)

◈ 활동기간 : 3개월이상 장기적으로 활동 가능하신분

◈ 모집인원 : 1명(성인 남자봉사자만 신청가능)

◈ 활동내용 : 고3 중증장애청소년 한글, 숫자, 게임, 책읽어주기, 놀아주기 등

◈ 활동장소 : 가양동(봉사자분께서 장애청소년 집으로 방문하셔야 합니다)

◈ 활동문의 : 기획운영지원팀 김아람 02)2662-3491~4

** 신청 후 전화확인 꼭!! 부탁드립니다
    전화확인 없을 시 활동하실 수 없습니다 **

",20180502,20180802,20180509 ~ 20180808,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,서울특별시,강서구,서울특별시 강서구 방화대로45길 69 한국뇌성마비복지회관 4층,37.5741667,126.81255349999999
2,효심밥상무료급식소 배식 및 사무국 업무보조,효심밥상무료급식소,효심밥상무료급식소,"*집결지:부산시 동래구 칠산동 254-1 2층 효심밥상무료급식소
*활동장소:부산시 동래구 칠산동 254-1 2층 효심밥상무료급식소
*봉사자혜택:점식식사 제공
*담당자:진창호(010-5310-7925)",20180503,20180802,20180503 ~ 20180803,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,부산광역시,동래구,부산시 동래구 칠산동 254-1 2층 효심밥상무료급식소,35.2027833,129.0880199
3,2018 청소년자원봉사 써머스쿨 프로그램 운영지원 봉사자 모집(성인),사)동두천시종합자원봉사센터,두드림희망센터,"2018 청소년자원봉사 써머스쿨 프로그램 운영지원 봉사자 모집

○프로그램명 : 2018 청소년자원봉사 써머스쿨
○기간 : 2018. 7. 20.(금)~8. 4.(토)
○활동시간 : 오전프로그램(9시~12시), 오후프로그램(1시~6시)
*프로그램에 따라 시간이 다소 조정될 수 있음
*희망하는 봉사일자 선택가능, 오전 또는 오후, 종일 선택가능
★자세한 일정은 7월초 공지드리겠습니다.
○활동장소 : 두드림희망센터 및 동두천시 관내 사회복지시설 등
*주소: 동두천시 중앙로 249
○활동내용 : 청소년자원봉사 프로그램 활동보조 및 청소년지도
○주요프로그램 : 자원봉사교육,팀빌딩,미술치료,발마사지,환경정화 등
○모집대상 : 대학생 및 성인봉사자
★희망하는 봉사일자를 선택해주시고 접수해 주시면
유선상으로 연락드리겠습니다.
★신청하실 때 포털에 전화번호가 잘 등록되어 있는지 확인해주세요~
전화번호가 없거나 잘 못된 번호면 추후 연락이 어렵습니다.
○문의 : 857-9961",20180622,20180802,20180720 ~ 20180804,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,경기도,동두천시,경기도 동두천시 중앙로249 두드림희망센터2층 ,37.903842,127.053407
4,[전화신청] 수성구학교밖청소년지원센터 학습 멘토링 봉사자 모집,수성구꿈드림(학교밖청소년지원센터),대구 수성구 달구벌대로 2450(범어동),"수성구학교밖청소년지원센터에서는 고졸 검정고시 학습 멘토링 봉사자를 모집합니다

활동일자: 2018.07.02~08.07 평일
활동시간: 평일 9시~21시 사이. (전화상담 후 시간 조율)
모집대상: 성인
활동내용: 고졸 검정고시 학습 멘토링",20180628,20180802,20180702 ~ 20180807,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,대구광역시,수성구,대구 수성구 달구벌대로 2450(범어동),35.8581602,128.6306367
5,선덕효심원 자원봉사 활동 내용,선덕효심원,선덕효심원내,"선덕 효심원은 어르신 요양 보호시설입니다. 
주요 자원봉사 활동내용은 1) 어르신 원내외 산책 지원
 2) 어르신과 말벗 봉사 
3) 생활실 주변청소 
4) 식사지원(대학생 및 일반인 지원자에 한함) 입니다. 

** 가급적 고등학교생 이상 자원봉사자를 원하며 
어르신 정서 지원 상 한회에 5명에서 7명이상이 적합합니다. 하루 인원은 10명이내입니다. 
특별한 사유가 없을때에는 가급적 봉사시간으로는 오전 09:00-13:00(4시간), 오후 13:00-17:00(4시간)로 선택하여 봉사활동을 하여 주시면 감사하겠습니다. 
일일 인원이 초과시에는 선착순으로 결정하겠습니다. 
양해하여 주시기 바랍니다. 
""자원봉사는 사랑의 나눔""입니다. 함께 사랑을 나눕시다. ",20180705,20180802,20180707 ~ 20180805,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,전라북도,전주시,전라북도 전주시 완산구 쑥고개옛길 137 ,35.7955566,127.07798009999999
6,[2018년 여름 계절학교] 자원봉사자 모집,칠곡군장애인종합복지관,복지관내외,"1. 사업명 : 2018년 여름 계절학교
2. 기   간 : 2018.7.23(월) ~ 8.3(금) 10:00~15:30 (토,일 제외)
3. 대   상 : 발달장애인 중고등학생 40명
4. 장   소 : 칠곡군장애인종합복지관 1층 강당 및 영천드림랜드(야외활동)
5. 모집인원 : 매일 8명(대학생 이상)
6. 활동내용 : 프로그램 보조
7. 문   의 : 칠곡군장애인종합복지관 평생교육지원팀 김현주
# 기타사항 : 일일 4시간 이상 봉사자 점심식사 제공
",20180706,20180802,20180723 ~ 20180803,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,경상북도,칠곡군,경상북도 칠곡군 왜관읍 관문로1길 24-5 칠곡군장애인종합복지관,35.990438,128.4172212
7,드림스타트 프로그램 차량봉사,수원시종합자원봉사센터,드림스타트 우만센터,"1.일시 : 2018.08.03.(금) 13:00~16:00 3시간
2.인원 : 2명 
3.장소 : 드림스타트 우만센터< = > 수원시 청소년 성문화센터 (조원1동소재)
4.프로그램 참여대상 : 드림스타트 아동 30명
5.필요차량 : 15인승(2대) 또는 45인승(1대)
6.활동내용 : 우만센터에서 13시에 아동을 태우고 출발하여 수원시청소년문화센터에 도착 후 16시 프로그램종료하고 다시 우만센터에 복귀
7.담당자 : 보육아동과 두태석 주무관 (031-228-2303)",20180711,20180802,20180803 ~ 20180803,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,경기도,수원시,"수원시 팔달구 효원로 241.(인계동, 수원시청)",37.26334,127.02862979999999
8,[아름다운가게 연신내점] 금요일 오전 봉사자 모집,아름다운가게연신내점,아름다운가게 연신내점,"아름다운가게는 시민들의 물품을 기증받아, 선별한 물품은 질열, 판매하고 발생한 수익으로 지역사회의 어려운 이웃을 돕는 재사용나눔가게입니다. 
* 봉사내용 : 매장 정돈, 물품진열, 구매자 응대, 기증품 접수 및 정리 
* 모집 봉사일: 금요일 오전 2명 (14시~ 18시) 
* 정기봉사 / 8회 이상 활동신청시에만 접수가능합니다. 
* 고등학생 이상 활동 가능합니다. 
* 반드시 담당매니저와 유선상으로 소통 후 활동 가능합니다. (연신내점: 02-356-8004) ",20180712,20180802,20180720 ~ 20180928,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,서울특별시,은평구,서울특별시 은평구 연서로 253-9 ,37.620055,126.922807
9,아라가야 달빛마중 봉사자 모집,경상남도 함안군,함안박물관,"2018 아라가야 달빛마중 봉사자를 모집합니다.

일시 :  7월 21 ~ 8월 2일 중 9회 (월, 화 제외)
          (7.21 / 7.22 / 7.25 / 7.26 / 7. 27 / 7.28 /7.29 / 8.1 / 8.2)
시간 :  18:00  ~ 21:00
장소 :  함안박물관
내용 : 행사장 디스플레이, 참가자 접수, 체험진행, 탐방객 안전 지원, 환경정비등
모집대상 :  고등학생 이상 성인
문의 :  580-2344(문화체육관광실 김미화 주무관)",20180716,20180802,20180721 ~ 20180802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,경상남도,함안군,경상남도 함안군 가야읍 함안대로 518 2층 자원봉사센터,35.267590399999996,128.4145355
