,제목,활동처명,활동장소,봉사내용,모집 시작일,모집 마감일,활동 기간,생활 편의,국제 협력,환경,인권,재해/재난,농어촌,주거 환경,보건 의료,교육,행정 지원,상담,문화,체육,역사,동아리,여행,홍보,사회공헌,기획,언어,현장,기타,장애인,노인,외국인,노숙인,다문화가정,노동자,유아,여성,쪽방촌,청소년,지역사회,광역시/도,시/군/구,주소,위도,경도
0,도봉구 문화재(한글역사문화길) 주변 환경정리,도봉문화원,도봉구 문화재 주변,"도봉구 역사문화탐방 ""2018.토요탐방 도봉기행"" 참가자 모집6월 9일 - 1길 : 한글역사문화길방학동 원당샘 은행나무(집결) - 연산군묘 - 김수영 문학관 - 양효공 안맹담과 정의공주묘역 - 충정공목서흠묘역 - 간송옛집(해산)토요일마다 문화관광해설사와 함께 도봉구 곳곳에 숨어 있는 문화재를 찾아 다닙니다.(자세한 코스 안내 ↓↓↓)http://www.dobong.or.kr/contents/?ca_id=4020- 도봉구 문화재 주변 환경정리* 봉사 신청 후 도봉문화원 사무실로 전화해 주시기 바랍니다.TEL : 02) 905 - 4026",20180924,20180927,20180929 ~ 20180929,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Seoul,Dobong-gu,"303 Chang 5(o)-dong, Dobong-gu, Seoul, South Korea",37.6542196,127.0389333
1,도봉구 문화재(평화문화진지길) 주변 환경정리,도봉문화원,도봉구 문화재 주변,"도봉구 역사문화탐방 ""2018.토요탐방 도봉기행"" 참가자 모집9월 22일 - 6길 : 분단의 아픔 평화문화진지길도봉산역 7호선 2번출구 창포원 입구(집결) - 평화문화진지 - 다락원 터 - 김수영 본가(해산)토요일마다 문화관광해설사와 함께 도봉구 곳곳에 숨어 있는 문화재를 찾아 다닙니다.(자세한 코스 안내 ↓↓↓)http://www.dobong.or.kr/contents/?ca_id=4020- 도봉구 문화재 주변 환경정리TEL : 02) 905 - 4026",20180924,20180927,20180922 ~ 20180922,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Seoul,Dobong-gu,"303 Chang 5(o)-dong, Dobong-gu, Seoul, South Korea",37.6542196,127.0389333
2,도봉구 문화재(도봉서원 바위글씨길) 주변 환경정리,도봉문화원,도봉구 문화재 주변,"도봉구 역사문화탐방 ""2018.토요탐방 도봉기행"" 참가자 모집9월 15일 - 5길 : 도봉서원 바위글씨길도봉산탐방지원센터(집결) - 도봉동문 - 도봉산 바위글씨(가학루용주담필동암제일동천연단굴만석대제월광풍갱별전료장현송답잔원무우대고산앙지복호동천) - 도봉서원 터(해산)토요일마다 문화관광해설사와 함께 도봉구 곳곳에 숨어 있는 문화재를 찾아 다닙니다.(자세한 코스 안내 ↓↓↓)http://www.dobong.or.kr/contents/?ca_id=4020",20180924,20180927,20180915 ~ 20180915,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Seoul,Dobong-gu,"303 Chang 5(o)-dong, Dobong-gu, Seoul, South Korea",37.6542196,127.0389333
3,도봉구 문화재(창동역사문화길) 주변 환경정리,도봉문화원,도봉구 문화재 주변,"도봉구 역사문화탐방 ""2018.토요탐방 도봉기행"" 참가자 모집9월 8일 - 4길 : 창동역사문화길창동역사문화공원(집결) - 창동리석조이정표 - 벽초 홍명희 집터 - 창동3사자(김병로송진우정인보)집터 - 양주목사선정비 - 전태일 집터 - 함석헌기념관(해산)토요일마다 문화관광해설사와 함께 도봉구 곳곳에 숨어 있는 문화재를 찾아 다닙니다.(자세한 코스 안내 ↓↓↓)http://www.dobong.or.kr/contents/?ca_id=4020- 도봉구 문화재 주변 환경정리TEL : 02) 905 - 4026",20180924,20180927,20180908 ~ 20180908,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Seoul,Dobong-gu,"303 Chang 5(o)-dong, Dobong-gu, Seoul, South Korea",37.6542196,127.0389333
4,도봉구 문화재 (초안산 조선시대 내시묘길) 주변 환경정리,도봉문화원,도봉구 문화재 주변,"도봉구 역사문화탐방 ""2018.토요탐방 도봉기행"" 참가자 모집9월 1일 - 3길 : 초안산 조선시대 내시묘길도봉문화정보도서관(집결)-초안산 분묘군(밀양박씨묘 내시승극철부부묘녹천정각심재이명묘역)-이명신도비(해산)토요일마다 문화관광해설사와 함께 도봉구 곳곳에 숨어 있는 문화재를 찾아 다닙니다.(자세한 코스 안내 ↓↓↓)http://www.dobong.or.kr/contents/?ca_id=4020- 도봉구 문화재 주변 환경정리* 봉사 신청 후 도봉문화원 사무실로 전화해 주시기 바랍니다.TEL : 02) 905 - 4026",20180924,20180927,20180901 ~ 20180901,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Seoul,Dobong-gu,"303 Chang 5(o)-dong, Dobong-gu, Seoul, South Korea",37.6542196,127.0389333
5,2018 서울아트마켓(PAMS) 자원활동가 PAMSIAN 모집 공고,(재)예술경영지원터,홍익대대학로아트센터 CKL스테이지 서울남산국악당 등,2018 서울아트마켓(PAMS) 자원활동가 PAMSIAN 모집 공고관련사이트: http://www.pams.or.kr/news/notice_view.asp?idx=421&nPage=12018 서울아트마켓을 이끌어갈 ‘팸시안 (PAMSIAN)’을 공개 모집합니다. 서울아트마켓은 매년 전세계에서 활발하게 활동중인 공연예술 전문가가 참여하여 국내외 우수한 공연예술작품을 전시하고 거래하는 대한민국 대표 아트마켓입니다. 지원 분야에 따라 다양한 현장 체험을 하며 PAMS의 구성원으로서 활동하게 됩니다. 공연예술에 흥미를 가지고 있는 여러분의 참여를 기다립니다.□ 행사 개요ㅇ 행 사 명 : 2018 서울아트마켓 (PAMS Performing Arts Market in Seoul)ㅇ 행사기간 : 2018. 10. 7(일) ~ 2018. 10. 12(금)ㅇ 행사장소 : 홍익대대학로아트센터 CKL스테이지 서울남산국악당 등□ 모집 대상ㅇ 지원자격 : 만 18세 이상의 대한민국 국민과 한국어로 소통 가능한 해외동포 및 국내 거주 외국인 공연예술기획 및 국제교류에 관심 있는 누구나ㅇ 모집인원 : 약 40명 내외 선발예정ㅇ 모집분야 : 행사진행팀 공연진행팀 홍보마케팅팀ㅇ 우대사항 : 영어 또는 기타 언어 전공 또는 구사 가능자 오리엔테이션/사전교육 및 행사기간 전 일정 동안 참여 가능한 자 공연예술 및 예술경영 관련 전공자 공연예술관련 축제 및 국제행사 유경험자※ 지원서 기재사항과 일치하지 않거나 선발 후 교육에 참석하지 않은 지원자는 선발에서 제외□ 업무 운영ㅇ 행사진행팀·전세계에서 활동중인 공연예술인들을 간접적으로 만나보고 공연예술을 사고파는 현장을 직관할 수 있는 기회!·업무: 부스전시 참가자 등록.안내 지원 / ·공연예술 관련 학술？네트워킹 운영 지원·영어 소통능력 우수자 우대ㅇ 공연진행팀·공연현장을 경험해보고 우수 공연예술을 쇼케이스로 만나볼 수 있는 기회!·업무: 쇼케이스 운영 지원 / 관람객 응대 및 이동지원·좌석여분 있을 시 관람가능ㅇ 홍보마케팅팀·6일동안 펼쳐지는 다양한 공연예술작품들을 가까이에서 취재하고 홍보마케팅을 경험할 수 있는 기회!·공연 및 행사관련 사진 촬영 및 관리 / 공식SNS 홍보콘텐츠 제작 및 관리·일러스트 관련 프로그램 능숙자 우대※ 각 팀은 유동적으로 배치되어 다양한 활동 체험 가능□ 활동기간ㅇ 활동기간 : 2018. 10. 5(금) ~ 2018. 10. 12(금) (8일간)※ 기자간담회 사전참여가능(2018. 9. 11. 예정)□ 모집 일정ㅇ 신청접수: ~ 2018. 8. 24(금) 24:00까지ㅇ 1차 서류: 합격자 면접일정 개별통보ㅇ 2차 면접: 업무 이해도 관심사 특기 언어능력 등을 기준으로 면접 후 개별통보 및 홈페이지 공지ㅇ 발대식: 9월 첫째주중 하루 예정 세부일정 추후 공지□ 모집방법ㅇ 모집방법 : 지원신청서 작성 후 이메일 (spaf@gokams.or.kr) 지원ㅇ 제출서류 : 지원신청서 및 붙임서류□ 혜택사항ㅇ 문화체육관광부 문화체육봉사 인증서 발급 (활동기간 8일 중 10시간 이상 이수 시)ㅇ 서울아트마켓 참가 확인서 발급 ((재)예술경영지원센터 대표명의 인증서)ㅇ PAMS 기념품(티셔츠 등) 및 식사 제공 (활동 시간에 따라 상이)□ 문의ㅇ 메일 : spaf@gokams.or.kr,20180924,20180927,20181005 ~ 20181012,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,Seoul,Jongno-gu,"57 Daehak-ro, Yeongeon-dong, Jongno-gu, Seoul, South Korea",37.5764804,127.001457
6,2018 서울국제공연예술제(SPAF) 자원봉사자 SPAFLE 모집 공고,(재)예술경영지원터,아르코예술극장 대학로예술극장,2018 서울국제공연예술제(SPAF) 자원봉사자 SPAFLE 모집관련사이트 : http://spaf.or.kr/2017/news/notice_vew.php?lar_cd=NOTICE&mid_cd=&sort=+notice_gb+desc%2C+root_no+desc+%2C+full_no++&brd_no=5426&rowNum=1&keykind=&keyword=¶m=%26page_now%3D1제18회 서울국제공연예술제를 이끌어갈 ‘스파플 (SPAFLE)’을 공개 모집합니다. 매년 가을 대학로를 예술의 물결로 물들이는 SPAF를 한층 더 다채롭고 풍부하게 만들어줄 스파플은 지원 분야에 따라 다양한 현장 체험을 하며 축제의 구성원으로서 활동하게 됩니다. 축제와 공연에 흥미를 가지고 있는 여러분의 참여를 기다립니다.□ 스파플 소개ㅇ 스파플은 서울국제공연예술제의 영문약자 SPAF와 PEOPLE의 합성어로 SPAF를 사랑하는 자원활동가의 애칭입니다.□ 축제 개요ㅇ 축 제 명 : 2018 서울국제공연예술제 (Seoul Performing Arts Festival)ㅇ 축제기간 : 2018. 10. 7(일) ~ 2018. 11. 4(일)ㅇ 축제장소 : 아르코예술극장 대학로예술극장 등 서울 대학로 일대□ 모집 대상ㅇ 지원자격 : 만 18세 이상의 대한민국 국민과 한국어로 소통 가능한 해외동포 및 국내 거주 외국인 공연.예술.축제 컨텐츠에 관심 있는 누구나ㅇ 모집인원 : 약 65명 내외 선발예정ㅇ 모집분야 : 해외공연진행팀 현장진행팀 홍보마케팅팀ㅇ 우대사항 : 영어 또는 기타 언어 전공 또는 구사 가능자 오리엔테이션/사전교육 및 행사기간 전 일정 동안 참여 가능한 자 공연예술관련 축제 및 국제행사 유경험자※ 지원서 기재사항과 일치하지 않거나 선발 후 교육에 참석하지 않은 지원자는 선발에서 제외□ 업무 운영ㅇ 공통업무·관객 동선 안내·웰컴 패키지 제작·오프라인 홍보 보조·관객과의 대화 등 부대행사 진행 보조ㅇ 해외공연진행팀·해외 공연팀 스케줄 동행 (입출국 국내이동)·기술 커뮤니케이션 (무대 셋업 및 철수) - 무대/음향/조명/소품 보조·해외 공연 관련 사진 촬영*외국어 소통능력 우수자 우대 (영어 일본어 프랑스어 핀란드어 세르비아어 리투아니아어)ㅇ 현장진행팀·해외 및 국내 공연팀 부대행사/워크샵 진행·관람객 응대 및 MD상품 판매·관객대상 설문조사 진행·SPAF 장내 이벤트 진행·국내 공연 관련 사진 촬영ㅇ 홍보마케팅팀·온라인 컨텐츠 제작 - 웹진 기획 보조·SPAFLE Zine 제작 및 관리·각 공연 관련 사진 및 영상 취합 및 관리*포토샵 일러스트 및 영상 편집 프로그램 능숙자 우대※ 각 팀은 유동적으로 배치되어 다양한 활동 체험 가능□ 활동기간ㅇ 활동기간 : 2018. 10. 7(일) ~ 2018. 11. 5(월) (30일간)※ 기자간담회 사전참여가능(2018. 9. 11. 예정)□ 모집 일정ㅇ 신청접수: ~ 2018. 8. 24(금) 24:00까지ㅇ 1차 서류: 합격자 면접 일정 개별통보ㅇ 2차 면접: 업무 이해도 관심사 특기 언어능력 등을 기준으로 면접 후 개별통보 및 홈페이지 공지ㅇ 발대식: 9월 첫째주중 하루 예정 세부일정 추후 공지□ 모집방법ㅇ 모집방법 : 지원신청서 작성 후 이메일 (spaf@gokams.or.kr) 지원ㅇ 제출서류 : 지원신청서 및 붙임서류□ 혜택사항ㅇ 문화체육관광부 문화체육봉사 인증서 발급 (활동기간 30일 중 50시간 이상 이수 시)ㅇ 서울국제공연예술제 참가 확인서 발급 ((재)예술경영지원센터 대표명의 인증서)ㅇ SPAF 기념품 (티셔츠 등) 및 식사 제공 (활동 시간에 따라 상이)ㅇ SPAF 공연 할인 잔여석에 한해 무료관람 기회 제공□ 문의ㅇ 메일 : spaf@gokams.or.kr,20180924,20180927,20181007 ~ 20181105,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,Seoul,Jongno-gu,"7 Daehak-ro 8-gil, Ihwa-dong, Jongno-gu, Seoul, South Korea",37.5811446,127.0029667
7,제52회 대통령기 전국 대학 야구대회 경기장 정리봉사(1365실적 연계가능),순천시체육회,팔마야구장,제52회 대통령기 전국 대학 야구대회 경기 후 경기장 정리봉사8월 16일~8월 28일 (26일 제외) 하루 4시간씩 봉사신청자들은 원하는 날짜 기재필수.(날짜 중복신청가능)1365가입자들은 실적 연계가능순천시야구협회 운영회장 유지균 010-3622-0104,20180924,20180927,20180816 ~ 20180828,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Balearic Islands,Palma,"Palma, Balearic Islands, Spain",39.5696005,2.6501603
8,"2018 청춘열전 '흥' 페스티벌 청춘흥신소 ""흥블리"" 자원봉사 모집 공고",(사)노름마치예술단,홍대 걷고싶은거리,2018 청춘열전 흥 페스티벌 [청춘흥신소 '흥블리'] 2차 모집공고담아두면 한이요 풀어내면 흥이라!9월 8일~9일 홍대 걷고싶은거리에서 진행되는 청춘열전 흥 패스티벌에서넘치는 끼를 발산할 흥블리를 모집합니다!만 18세 이상 누구나 지원가능!!9월 8일 9일 총 16시간의 봉사시간 및 각종 공연티켓 초대권 할인권이 주어지는 흥블리 특혜!!지금 지원하세요 ~*자세한 내용은 공고문을 확인해주세요,20180807,20180816,20180908 ~ 20180909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,Seoul,Mapo-gu,"348-66 Seogyo-dong, Mapo-gu, Seoul, South Korea",37.5555188,126.9237663
9,사무보조,추억극장 미림,추억극장 미림,문화예술 교육 관련 사무보조,20180807,20180816,20180806 ~ 20181231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Incheon,Dong-gu,"31 Hwadojin-ro, Songhyeon 1(il).2(i)-dong, Dong-gu, Incheon, South Korea",37.4754403,126.6342877
